,Scientific.Discipline,Title,First.Name,Middle.Name,Last.Name,Suffix,Citation,Full.Name,,Wiki.page,Gender,Page.Year,page.creator (partial data)
135,"Agriculture, Food & Renewable Resources",Prof.,Bruno,,Basso,,"For distinguished contributions to the field of agronomy, with particular reference to quantitative modeling and the application of precision technologies in modern cropping systems.",Bruno Basso,,FALSE,m,,
136,"Agriculture, Food & Renewable Resources",Prof.,Eunice,F.,Foster,,"For distinguished contributions to the field of agronomy,with particular reference to advancing diversity and educating the next generation of agricultural scientists and practitioners.",Eunice Foster,,FALSE,f,,
137,Biological Sciences,Dr.,A. ,Daniel,Jones,,"For distinguished contributions to the field of biological applications of analytical chemistry, particularly the use of mass spectrometry to study biochemistry, plant and microbial biology.",A.  Jones,,FALSE,m,,
138,Engineering,Prof.,Leo,Charles,Kempel,,For distinguished contributions to magneto-dielectric materials for radio frequency applications and inclusive excellence in leadership in engineering.,Leo Kempel,,FALSE,m,,
139,Statistics,Dr.,Tapabrata,(Taps),Maiti,,"For distinguished contributions to the fields of statistics and data science, particularly for contributions to data-driven discovery, and for outstanding teaching and training of the next generation of data scientists.",Tapabrata Maiti,,FALSE,m,,
140,Chemistry  ,Dr.,Robert,E.,Maleczka,Jr.,"For inclusive contributions to the field of synthetic chemistry with a focus on the development of green reactions and strategies involving organoboranes, organosilanes and organostannanes.",Robert Maleczka,,FALSE,m,,
141,Physics ,Prof.,Filomena,,Nunes,,"For distinguished leadership, teaching, mentoring, and community service within and beyond nuclear physics; a model-setting faculty member who sets a high bar of excellence for herself, her students, and colleagues.",Filomena Nunes,,FALSE,f,,
142,Biological Sciences,Prof.,Charles,,Ofria,,For revolutionary work in understanding how evolution functions and the application of that knowledge to digital organisms and for leadership roles in the compuational evolution community.,Charles Ofria,,TRUE,m,2007,
143,Education,Prof.,Mark,,Urban-Lurain,,"For distinguished contributions to education, particularly for the application of technological approaches to meaningful educational assessment, and for mentoring the next generation of researchers.",Mark Urban-Lurain,,FALSE,m,,
144,Industrial Science & Technology,Dr.,Krysta,,Svore,,"For preeminent contributions to the building the software stack, optimal error correction protocols, and algorithms for fault tolerant quantum computation.",Krysta Svore,,FALSE,f,,
145,"Information, Computing & Communication",Dr.,Mark,D.,Hill,,"For distinguished contributions to advanced computer architecture, particularly for memory system design.",Mark Hill,,TRUE,m,2019,
146,Biological Sciences,Dr.,Janice,Elaine,Chambers,,"For distinguished contributions in toxicology, with emphasis on organophosphate anticholinesterase toxicants, both insecticides and chemical warfare agents.",Janice Chambers,,FALSE,f,,
147,Biological Sciences,Dr.,Raina,Katy,Plowright,,For distinguished contributions to the field of emerging disease biology particularly her interdisciplinary leadership into the mechanisms that drive spillover from bats to humans.,Raina Plowright,,FALSE,f,,
148,Pharmaceutical Sciences,Prof.,James,W.,Lillard,Jr.,"For distinguished contributions in development of target-based therapies in cancer and immunology, and leadership in fostering research collaborations to better understand cancer disparities and related impacts on minority populations.",James Lillard,,FALSE,m,,
149,Neuroscience,Prof.,Christine,F.,Hohmann,,"For distinguished contributions to determining how the cholinergic system impacts brain development, and for commitment to diversity in STEM, including 28 years of faculty service at a Historically Black University",Christine Hohmann,,FALSE,f,,
150,Chemistry  ,Prof.,Chérif,F.,Matta,,For distinguished novel contributions from theoretical and computational chemistry and chemical physics focusing on the important effects of strong electric fields in laser chemistry to biochemical reactions and biophysics.,Chérif Matta,,FALSE,m,,
151,Geology & Geography,Dr.,Carol,,Polanskey,,"For distinguished contributions to the field of planetary science, especially the structure and dynamics of asteroids and other small planetary bodies as well as exemplary leadership and development of space science missions.",Carol Polanskey,,FALSE,f,,
152,Astronomy,Dr.,Eric,,Christian,,"For distinguished contributions to the field of space physics and astronomy, including cutting edge research, mission development and management, and communications, education, and public outreach.",Eric Christian,,FALSE,m,,
153,Medical Sciences,Prof.,Dean,,Ho,,"For distinguished contributions to the fields of artificial intelligence, digital medicine and nanomedicine, particularly for drug development and combination therapy design.",Dean Ho,,TRUE,m,2007,
154,Biological Sciences,Dr.,Lauren,O.,Bakaletz,,"For distinguished contributions to the field of microbial pathogenesis, particularly for elucidating the formation and structure of the bacterial biofilm matrix, and means for its disruption.",Lauren Bakaletz,,FALSE,f,,
155,Atmospheric & Hydrospheric Sciences,Mr.,David,G.,Hawkins,,"For advancing solutions addressing major environmental problems, including air pollution and climate change.",David Hawkins,,FALSE,m,,
156,"Information, Computing & Communication",Prof.,Juliana,,Freire,,"For distinguished contributions to the development of widely used systems embodying novel data and provenance management methods to support usability, reproducibility, and trust for data-driven exploration.",Juliana Freire,,TRUE,f,2015,(David Eppstein)
157,"Social, Economic & Political Sciences",Prof.,Michael,,Hout,,"For distinguished contributions to the field of demographic methods to study social change, inequality, religion, and politics.",Michael Hout,,TRUE,m,2015,
158,Education,Dr.,Okhee,,Lee,,"For distinguished contributions to the field of equity in the teaching and learning of science, curriculum and educational policy, with a special focus on English language learners.",Okhee Lee,,TRUE,f,2020,
159,Psychology,Prof.,C.,Cybele,Raver,,For distinguished contribution to the significant advancement of knowledge about ways to improve young children’s early learning and development in the context of family poverty.,C. Raver,,FALSE,f,,
160,"Social, Economic & Political Sciences",Prof.,Paul,M. ,Romer,,"For distinguished contributions to economics and social policy, particularly for the theory of endogenous economic growth and for his advocacy of scientific thinking in economics, innovation and public policy.",Paul Romer,,TRUE,m,2005,
161,Chemistry  ,Prof.,Mark,E.,Tuckerman,,"For distinguished contributions to the field of computational and theoretical chemistry, including rigorous algorithms for molecular dynamics and path integral simulations and for models of aqueous proton and hydroxide transport.",Mark Tuckerman,,FALSE,m,,
162,Medical Sciences,Dr.,Vivian,W.,Pinn,,For distinguished services to research on women's health and leadership in inclusion of women in clinical trials.,Vivian Pinn,,TRUE,f,2015,
163,Biological Sciences,Dr.,Ying,E.,Zhang,,For outstanding contributions to the understanding of molecular signaling mechanisms and biological functions of the TGF-beta family of growth factors.,Ying Zhang,,FALSE,f,,
164,Education,Dr.,Kenneth,D.,Gibbs,Jr.,"For distinguished contributions to science policy and research on diversity, equity and inclusion in the scientific workforce.",Kenneth Gibbs,,FALSE,m,,
165,Neuroscience,Dr.,David,R.,Sibley,,"For distinguished contributions to the field of neuropharmacology, particularly for characterizing the molecular properties of G protein-coupled receptors, their role in neuronal signaling, and for discovery of novel receptor modulators.",David Sibley,,FALSE,m,,
166,Medical Sciences,Dr.,Michail,S.,Lionakis,,"For distinguished contributions to the field of genetic and immunologic medicine, particularly for defining the molecular basis for the clinical and pathological manifestations of mycological diseases.",Michail Lionakis,,FALSE,m,,
167,Medical Sciences,Dr.,Avindra,,Nath,,"For distinguished contributions to the fields of neurovirology, microbial pathogenesis, emerging infectious diseases, and public health.",Avindra Nath,,TRUE,m,2010,
168,Engineering,Dr.,Morton,A.,Barlaz,,"For distinguished contributions to the field of environmental engineering, particularly for advancing understanding of solid waste engineering and related fundamental biological and chemical processes.",Morton Barlaz,,TRUE,m,,
169,Biological Sciences,Dr.,Marc,Anthony,Cubeta,,"For distinguished contributions at the intersection of fundamental and translational research in mycology and plant pathology, for improving plant and animal health.",Marc Cubeta,,TRUE,m,,
170,Physics ,Prof.,Karen,E.,Daniels,,"For distinguished contributions to the field of nonlinear and soft-matter physics, particularly for experimental investigation of granular matter.",Karen Daniels,,FALSE,f,,
171,Societal Impacts of Science & Engineering,Dr.,Jason,A.,Delborne,,For exceptional contributions to the understanding and practice of public engagement for the governance of emerging environmental technologies.,Jason Delborne,,TRUE,m,,
172,Biological Sciences,Prof.,Candace,H.,Haigler,,For distinguished research contributions to the fields of cellulose and cotton fiber biology and for broad service to the profession.,Candace Haigler,,FALSE,f,,
173,Engineering,Dr.,Ayman,,Hawari,,"For distinguished contributions to the field of nuclear engineering, particularly for the development of research reactor experimental facilities and fundamental contributions to the understanding of thermal neutron scattering.",Ayman Hawari,,FALSE,m,,
174,Biological Sciences,Prof.,Shuijin,,Hu,,"For distinguished contributions to the field of microbial ecology, particularly elucidating multiple mechanisms by which microbial-plant interactions influence plant productivity and response to climate change.",Shuijin Hu,,FALSE,m,,
175,Biological Sciences,Dr.,Mary,C. ,Watzin,,"For distinguished contributions to the fields of marine and watershed ecology, interdisciplinary team science, and bringing science into public and policy discourse; and for her leadership in higher education.",Mary Watzin,,FALSE,f,,
176,Chemistry  ,Prof.,Mukund,P.,Sibi,,For pioneering work in enantioselective radical reactions and asymmetric synthesis and building biomedical research infrastructure through effective leadership and mentoring.,Mukund Sibi,,FALSE,m,,
177,Linguistics & Language Science,Dr.,Colleen,,Fitzgerald,,"For outstanding contributions to the field of linguistics, with a focus on language documentation, language revitalization, and empowering Indigenous communities through collaborative work.",Colleen Fitzgerald,,TRUE,f,2014,
178,Chemistry  ,Prof.,Penny,,Beuning,,For important discoveries in the field of DNA translesion synthesis and key contributions to the advancement of chemical research in toxicology.,Penny Beuning,,FALSE,f,,
179,"Information, Computing & Communication ",Prof.,Elizabeth,D.,Mynatt,,"For exceptional computing community leadership and for distinguished leadership and contributions to human-centered computing, with a focus on assistive technologies, wellness, and health.",Elizabeth Mynatt,,TRUE,f,2008,
180,Biological Sciences,Prof.,Hazel,,Sive,,"For fundamental contributions to understanding molecular control of early events in embryonic development and neurodevelopment in vertebrates, and for developing methods for better teaching, mentoring and diversity in higher education",Hazel Sive,,TRUE,f,2017,
181,Biological Sciences,Prof.,Bruce,A.,Hungate,,"For distinguished contributions to ecosystem and microbial ecology, particularly development of quantitative isotope techniques, application of ecological theory to microbial communities, and insights into nutrient regulation of climate-ecosystem feedbacks.",Bruce Hungate,,TRUE,m,,
182,Neuroscience,Prof.,Catherine,,Woolley,,"For extraordinary and pioneering achievements in the basic neurophysiology of the hippocampus and the effects of sex steroids on synaptic activity, and for exceptional service, administrative and educational leadership",Catherine Woolley,,TRUE,f,2018,
183,Medical Sciences,Prof.,Paula,H.,Stern,,"For distinguished achievements in bone research, particularly on mechanisms of hormonal regulation; recognized as a role model for women in science through two eponymous awards.",Paula Stern,,FALSE,f,,
184,Astronomy,Dr.,Reba,,Bandyopadhyay,,"For significant contributions in federal science policy, for advocating for scientific research to Congress, and for leadership in educating scientists in science policy.",Reba Bandyopadhyay,,FALSE,f,,
185,Astronomy,Dr.,Anthony,J.,Beasley,,"For distinguished contributions to the advancement of science through leadership in the construction of several major national or international facilities, particularly for radio astronomy.",Anthony Beasley,,TRUE,m,,
186,Pharmaceutical Sciences,Dr.,Beth,A.,Habecker,,For distinguished contributions elucidating the roles of the sympathetic nervous system in cardiovascular disease.,Beth Habecker,,FALSE,f,,
187,Biological Sciences,Dr.,Lisa,T. ,Ballance,,"For distinguished contributions to the field of ecology and behavior, particularly for studies of biodiversity and ecosystem services, including marine mammals.",Lisa Ballance,,FALSE,f,,
188,General Interest in Science & Engineering,Dr.,Bradley,J.,Cardinal,,"For distinguished contributions to the fields of public health and physical activity, particularly in promoting science knowledge to exercise adherence.",Bradley Cardinal,,FALSE,m,,
189,Chemistry  ,Prof.,Staci,L.,Simonich,,"For distinguished contributions to the fields of analytical and environment chemistry, particularly for studying the chemical transformation and transport of organic compounds in the environment, and university administration.",Staci Simonich,,FALSE,f,,
190,Biological Sciences,Prof.,Mónica,,Medina,,"For pioneering contributions to understanding the evolution and molecular microbial ecology of coral symbiosis and coral reef sensitivity to global change, and for dedication to mentoring diverse young scientists.",Mónica Medina,,FALSE,f,,
191,Anthropology ,Prof.,Mary,K.,Shenk,,"For distinguished contributions to the fields of anthropology and demography, particularly for integrating biocultural and evolutionary insights into understanding the demographic transition.",Mary Shenk,,FALSE,f,,
192,Biological Sciences,Prof.,Scott,A.,Showalter,,"For development and application of biophysical approaches to understand structures, dynamics, and biological functions of intrinsically disordered proteins and microRNAs, and for exemplary service to the field of biophysics.",Scott Showalter,,FALSE,m,,
193,Biological Sciences,Prof.,Jay,R.,Stauffer,Jr.,"For distinguished contributions to the field of biology, particularly the ecology and evolution of fishes.",Jay Stauffer,,FALSE,m,,
194,Medical Sciences,Dr.,Jian,,Yang,,For distinguished contributions to regenerative engineering and regenerative medicine for developing new theranostic biomaterials and his discovery of citrate metabonegenic regulation for bone regeneration.,Jian Yang,,FALSE,m,,
195,Astronomy,Dr.,David,H.,Grinspoon,,"For distinguished scientific research in the field of comparative terrestrial atmospheres with a particular focus on Venus, and for prolific public science communication via books, articles, lectures, and other media.",David Grinspoon,,TRUE,m,2008,
196,"Social, Economic & Political Sciences",Dr.,David,E.,Ervin,,"For transdisciplinary approaches to education and research on vexing environmental problems that elude disciplinary approaches and confound society, including biotechnology-derived crops and pest resistance management.",David Ervin,,FALSE,m,,
197,Physics ,Prof.,Roberto,,Car,,"For distinguished contributions to the field of computational physics, particularly for his development of techniques for the dynamic simulation of materials with quantum mechanical accuracy.",Roberto Car,,TRUE,m,2010,
198,Engineering,Prof.,Gary,J. ,Cheng,,"For leading contributions to additive materials synthesis and processing for scalable manufacturing using laser-matter interaction, with applications to biomedical, electrical and optical devices.",Gary Cheng,,FALSE,m,,
199,Education,Dr.,Karl,A.,Smith,,For distinguished contributions to engineering and science education and leadership role in advocating and mentoring research on and use of active and collaborative learning strategies.,Karl Smith,,FALSE,m,,
200,Engineering,Prof.,John,,Sutherland,,"For seminal contributions to the field of environmentally responsible manufacturing through pioneering research and educational offerings, and advancing the international sustainable manufacturing community through service leadership.",John Sutherland,,TRUE,m,2018,
201,Biological Sciences,Dr.,David,Jonathan,Glass,,"For distinguished contributions to the field of skeletal muscle biology, particularly determining the signaling pathways responsible for skeletal muscle atrophy and hypertrophy.",David Glass,,TRUE,m,,
202,General Interest in Science & Engineering,Mr.,Se,Woong,Jeong,,"For exemplary leadership supporting pre-collegiate research for the Virginia Junior Academy of Science, American Junior Academy of Science, and National Association of Academies of Science",Se Jeong,,FALSE,m,,
203,Engineering,Prof.,Georges,,Belfort,,"For distinguished fundamental contributions to the field of separation science and engineering, particularly for bio-separations and water purification with membranes, and for surface modification of polymeric membranes.",Georges Belfort,,TRUE,m,,
204,Engineering,Prof.,Nikhil,Ashok,Koratkar,,"For distinguished contributions to the science and technology of one-dimensional and two-dimensional materials, leading to important advances in nanotechnology, energy and sustainability.",Nikhil Koratkar,,TRUE,m,2010,
205,Biological Sciences,Dr.,Rick,,Relyea,,"For distinguished contributions to the fields of ecology, evolution, and ecotoxicology, particularly by examining the interactions of natural and anthropogenic stressors on individuals, food webs, and ecosystems.",Rick Relyea,,TRUE,m,,
206,Education,Dr.,Edward,B.,Nuhfer,,For distinguished contributions to science education and his leadership role in research and professional development for strategies that support effective learning in all students,Edward Nuhfer,,TRUE,m,,
207,Psychology,Prof.,James,R.,Pomerantz,,"For distinguished contributions to the advancement of psychological science, through his research in perceptual organization, years in academic administration, and development and leadership of professional societies",James Pomerantz,,TRUE,m,,
208,Medical Sciences,Dr.,Jan,L.,Breslow,,For research focused on the genetic factors that govern an individual's predisposition to develop atherosclerosis and pioneering novel therapies for treating the disease.,Jan Breslow,,TRUE,m,2017,
209,Biological Sciences,Prof.,Renping,,Zhou,,"For distinguished contributions to the field of molecular signaling in organizing biological structures and function, particularly as related to protein interactions that regulate the growth of neuronal processes.",Renping Zhou,,FALSE,m,,
210,Biological Sciences,Dr.,Patricia,,Fitzgerald-Bocarsly,,"For distinguished science leadership and contributions to the field of biology, especially the innate immune responses to human viral infections with a concentration on the basic biology of dendritic cells.",Patricia Fitzgerald-Bocarsly,,FALSE,f,,
211,Neuroscience,Dr.,Emanuel,M.,DiCicco-Bloom,,"For distinguished contributions to the understanding of growth factor regulation of neurogenesis during mammalian brain development, with a focus on models of human neurodevelopmental disorders, including autism and schizophrenia.",Emanuel DiCicco-Bloom,,FALSE,m,,
212,Dentistry & Oral Health Sciences,Dr.,Cecile,Arlene,Feldman,,"For distinguished contributions to the field of dentistry, particularly for her leadership and advocacy in addressing contemporary issues facing dental education, research and delivery of oral health care.",Cecile Feldman,,FALSE,f,,
213,"Social, Economic & Political Sciences",Dr.,Margaret,,Marsh,,"For distinguished contributions to the field of social sciences, particularly the history of medicine, academic leadership and communicating and interpreting science to the public",Margaret Marsh,,FALSE,f,,
214,Medical Sciences,Prof.,William,C. ,Gause,,"For distinguished contributions to the field of molecular and translational immunology, with a particular focus on the initiation and function of type 2 immunity during infectious disease.",William Gause,,TRUE,m,,
215,Geology & Geography,Dr.,Ying,,Fan Reinfelder,,"For distinguished contributions and leadership in continental-scale hydrology, particularly on the interactions between groundwater and near-surface systems, including vegetation and surface water.",Ying Fan Reinfelder,,FALSE,f,,
216,Chemistry  ,Prof.,Alan,S.,Goldman,,"For distinguished contributions to the field of catalysis by transition-metal complexes, particularly the elucidation of reaction mechanisms and the development of catalysts for hydrocarbon functionalization.",Alan Goldman,,TRUE,m,2018,
217,Biological Sciences,Dr.,Max,M.,Häggblom,,"For distinguished contributions to understanding both the fundamental and application components of microbial biotransformations of pollutants, especially chlorinated aromatic compounds and metalloids.",Max Häggblom,,FALSE,m,,
218,Biological Sciences,Dr.,Julie,L.,Lockwood,,"For distinguished contributions to the field of ecology and conservation biology, particularly for studies of biological invasions and causes of biotic homogenization.",Julie Lockwood,,FALSE,f,,
219,Biological Sciences,Prof.,Tara,C.,Matise,,For distinguished contributions to developing human genetic maps and for critical efforts to bring genetics to diverse human populations.,Tara Matise,,TRUE,f,2021,(Jesswade)
220,Biological Sciences,Dr.,Andrew,,Singson,,"For distinguished contributions to the field of fertilization, particularly for discovery and characterization of genes required for fertilization in Caenorhabditis elegans.",Andrew Singson,,FALSE,m,,
221,Neuroscience,Dr.,Samuel,,Pfaff,,"For distinguished contributions to neuronal diversity and gene regulation, particularly by characterizing the molecularly distinct LIM code, and revealing the spatial and temporal mechanisms behind motor neuron connectivity.",Samuel Pfaff,,FALSE,m,,
222,Anthropology ,Dr. ,Michelle,,Bezanson,,For substantive research on substrate use and kinetics in primate locomotion and critical analysis of contemporary primate field research and conservation practice,Michelle Bezanson,,FALSE,f,,
223,Biological Sciences,Prof.,Janice,,Edgerly-Rooks,,"For advancing our understanding of the embiopterans, or webspinners, including their sociality, maternal care, parthenogenesis, diet, and silk spinning all while teaching the next generation of scientists",Janice Edgerly-Rooks,,FALSE,f,,
224,General Interest in Science & Engineering,Dr.,Jeremy,S.,Hoffman,,"For outstanding contributions to informal science learning, science communication, and community engagement in citizen science activities focused on climate change and climate resilience.",Jeremy Hoffman,,FALSE,m,,
225,Astronomy,Dr.,Belinda,Jane,Wilkes,,"For distinguished contributions to high-energy astronomy, leadership that enables science, and sharing the results with the public.",Belinda Wilkes,,TRUE,f,2014,
226,Biological Sciences,Dr.,Ted,R.,Schultz,,"For teasing out the evolutionary history of ants and their fungi in the most famous agricultural symbiosis in the animal world, and for excellence in systematics and mentoring.",Ted Schultz,,FALSE,m,,
227,Biological Sciences,Dr.,Jeffrey,,Bluestone,,"For distinguished contributions to the field of immunology and medicine, particularly regarding understanding of peripheral immune tolerance mechanisms that have major implications in transplantation and autoimmune disease.",Jeffrey Bluestone,,TRUE,m,2016,
228,Engineering,Dr.,Elizabeth,G.,Loboa,,"For transformative academic leadership, promotion of diversity and inclusion in STEM fields, and impactful research in biomedical engineering, particularly for contributions in regenerative medicine and tissue engineering.",Elizabeth Loboa,,TRUE,f,2019,
229,Geology & Geography,Prof.,Zhong,,Lu,,For seminal and novel contributions on the application of satellite interferometric synthetic aperture radar for natural hazard monitoring and natural resource management.,Zhong Lu,,FALSE,m,,
230,"Agriculture, Food & Renewable Resources",Prof.,Junguo,,Liu,,"For groundbreaking contributions to spatially explicit water and nitrogen flux accounting in ecosystems, and for river restoration, both in China and at a global level.",Junguo Liu,,FALSE,m,,
231,Industrial Science & Technology,Dr.,Celia,,Merzbacher,,"For distinguished leadership of scientific and technical programs in industry, the national laboratories and the Executive Office of the President of the United States of America.",Celia Merzbacher,,FALSE,f,,
232,Medical Sciences,Dr.,Douglas,R.,Green,,"For distinguish contributions to the field of immunology, particular in understanding the mechanisms of cell death and survival and their role in health and disease.",Douglas Green,,TRUE,m,2015,
233,Physics ,Prof.,Philip,,Bucksbaum,,"For outstanding contributions to ultrafast atomic, molecular and optical science and service to the physics and broader science community through leadership, including as president of the American Physical Society.",Philip Bucksbaum,,TRUE,m,2013,
234,Linguistics & Language Science,Prof.,Anne,,Charity Hudley,,"For distinguished contributions to addressing issues of social justice in linguistics and beyond, particularly in the African-American context.",Anne Charity Hudley,,FALSE,f,,
235,"Agriculture, Food & Renewable Resources",Dr.,José,R.,Dinneny,,For outstanding contributions towards understanding adaptive mechanisms of root growth and commitment to educating and mentoring future scientists.,José Dinneny,,FALSE,m,,
236,Physics ,Prof.,Persis,S.,Drell,,For distinguished contributions to particle physics and exemplary leadership in the evolution of U.S. national laboratory research.,Persis Drell,,TRUE,f,2006,
237,History & Philosophy of Science,Prof.,Paul,N.,Edwards,,"For distinguished contributions to history of science, particularly history of environmental security and information infrastructures, and for public contributions to the understanding of climate change.",Paul Edwards,,FALSE,m,,
238,Psychology,Dr.,James,J.,Gross,,"For distinguished contributions to the study of emotion, and in particular, for establishing the study of emotion regulation in individual, interpersonal, and intergroup contexts.",James Gross,,TRUE,m,2006,
239,Physics ,Prof.,Tony,F.,Heinz,,"For distinguished contributions to the field of surface physics, particularly for his elucidation of the optical properties of monolayers and atomically thin materials at the limits of space and time.",Tony Heinz,,TRUE,m,2019,
240,Physics ,Prof.,Aharon,,Kapitulnik,,For distinguished contributions to the field of experimental condensed matter physics.,Aharon Kapitulnik,,TRUE,m,2017,
241,Medical Sciences,Dr.,Teri,E.,Klein,,"For development, implementation, and leadership of the PharmGKB resource, a database providing information about how human genetic variation affects response to medications.",Teri Klein,,FALSE,f,,
242,General Interest in Science & Engineering,Mr.,Alan,,Alda,,"For distinguished contributions as a science communicator, as an advocate for science communication, and as a trainer of others in effective communication of science.",Alan Alda,,TRUE,m,2007,
243,Biological Sciences,Dr.,Alejandro,,Sánchez Alvarado,,"For distinguished contributions to the field of animal regeneration, specifically for identifying the crucial genes in the Schmidtea mediterranea involved in the regeneration of body parts.",Alejandro Sánchez Alvarado,,TRUE,m,2016,
244,Engineering,Dr.,Giovanni,,De Micheli,,For pioneering contributions to computer aided design of integrated circuits and systems.,Giovanni De Micheli,,TRUE,m,2007,
245,Physics ,Prof.,Xiaoxing,,Xi,,"For eloquent and powerful advocacy in support of the U.S. scientific research community, open fundamental research and open fundamental science exchange with China.",Xiaoxing Xi,,TRUE,m,2015,
246,Dentistry & Oral Health Sciences,Dr.,Kathy,Kay Hartford,Svoboda,,"For distinguished contributions to the study of the influence of the extracellular matrix on development, and for leadership in the field of oral and craniofacial developmental biology.",Kathy Svoboda,,FALSE,f,,
247,Biological Sciences,Dr.,Deborah,,Bell-Pedersen,,"For distinguished contributions to the field of molecular biology, particularly using Neurospora to understand genetic controls of circadian rhythms and circadian rhythm controls of gene expression.",Deborah Bell-Pedersen,,FALSE,f,,
248,Statistics,Dr.,Valen,Earl,Johnson,,"For distinguished contributions to the field of Bayesian statistics and cancer research, and exceptional scientific leadership locally and nationally.",Valen Johnson,,FALSE,m,,
249,"Information, Computing & Communication ",Prof.,Robin,R. ,Murphy,,"For founding the field of search and rescue robotics and pioneering the field of human-robot interaction, and for informing policy and practice in rescue robotics world-wide.",Robin Murphy,,TRUE,f,2018,
250,Biological Sciences,Dr.,Stephen,H.,Safe,,For distinguished contributions to the scientific knowledge used to advance the safe use of chemicals in commerce and development of more effective and safe pharmaceuticals.,Stephen Safe,,FALSE,m,,
251,Chemistry  ,Prof.,Virender,K.,Sharma,,"For exceptional contributions in the field concerning the occurrence and remediation of toxins, antibiotics, antibiotics resistance bacteria and genes, and nanoparticles to address real-world challenges of water sustainability.",Virender Sharma,,FALSE,m,,
252,Dentistry & Oral Health Sciences,Dr.,Reginald,Wayne,Taylor,,"For distinguished contributions to the field of oral and craniofacial biology, particularly in matrix biology, diagnostic sciences and the mentoring of a diverse cadre of dental students at all levels.",Reginald Taylor,,FALSE,m,,
253,Societal Impacts of Science & Engineering,Dr.,Mae,C.,Jemison,,"For serving as a bridge between science and underrepresented groups, her focus on creating technological solutions that benefit society, and her visionary leadership in making interstellar space travel a reality.",Mae Jemison,,TRUE,f,2005,
254,Psychology,Prof.,Ping,,Li,,For distinguished contributions to the cognitive neuroscience and computational modeling of bilingualism and the bilingual brain.,Ping Li,,TRUE,m,2008,
255,General Interest in Science & Engineering,Dr.,Richard,M.,Preston,,"For extensively researched, masterfully crafted nonfiction bringing the content, process, and excitement of science to countless readers throughout the world.",Richard Preston,,TRUE,m,2006,
256,"Social, Economic & Political Sciences",Dr.,Bear,,Braumoeller,,"For distinguished contributions to the fields of political methodology, social science theory, and applied policy analysis.",Bear Braumoeller,,FALSE,m,,
257,Chemistry  ,Prof.,Joshua,E.,Goldberger,,"For distinguished contributions to the field of materials chemistry, particularly for developing new two-dimensional and layered materials with applications in electronics.",Joshua Goldberger,,TRUE,m,,
258,Engineering,Prof.,Dorota,A.,Grejner-Brzezinska,,"For distinguished contributions to the field of positioning, navigation and timing with specific applications to personal navigation, autonomous mobility and navigation in GPS-denied environments.",Dorota Grejner-Brzezinska,,TRUE,f,2020,David Eppstein
259,"Information, Computing & Communication",Prof.,Ayanna,,Howard,,For significant contributions to human-robot interaction and for improving access and equity through artificial intelligence technologies.,Ayanna Howard,,TRUE,f,2008,
260,Physics ,Prof.,Michael,Annan,Lisa,,"For his development of azimuthally sensitive femtoscopy for relativistic heavy-ion collisions and his discovery, via global polarization measurements, of the unprecedented vorticity of quark-gluon plasma created in such collisions.",Michael Lisa,,TRUE,m,,
261,Geology & Geography,Prof.,Harvey,J.,Miller,,"For novel, sustained and impactful scholarship on analytical time geography, GIScience and spatial analysis in a data-rich world, and sustainable mobility.",Harvey Miller,,TRUE,m,,
262,Biological Sciences,Prof.,Zihai,,Li,,"For distinguished contributions to the field of molecular immunology, particularly the roles of the heat shock protein 96 in chaperon biology, cancer progression, immune response, and tolerance",Zihai Li,,FALSE,m,,
263,"Agriculture, Food & Renewable Resources",Prof.,Shawn,Denton,Mansfield,,"For distinguished contributions to plant science spanning industrially relevant lignocellulosic processing to research on fundamental molecular mechanisms/genetics of cell wall deposition, carbohydrate allocation, and cellulose and lignin biosynthesis.",Shawn Mansfield,,FALSE,m,,
264,Biological Sciences,Dr.,Zoe,G.,Cardon,,"For distinguished contributions to the field of ecosystem biology, particularly for the role of plants and their microbial and soil partners in water and nutrient flows.",Zoe Cardon,,FALSE,f,,
265,Industrial Science & Technology,Prof.,Eduardo,,Rosa-Molinar,,"For contributions in developing innovative conductive reagents, materials, tools, and methods to overcome charging artifacts on electron microscopic images and in preparing future BIPOC innovators.",Eduardo Rosa-Molinar,,TRUE,m,,
266,Engineering,Dr.,Erick,C.,Jones,Sr. ,"For distinguished contributions to the field of engineering, particularly for RFID, tracking, and lean six sigma contributions to manufacturing, logistics, healthcare, and public outreach.",Erick Jones,,TRUE,m,2018,
267,Biological Sciences,Prof.,David,,Cannatella,,For explaining neotropical frogs and for using systematic and phylogeographic approaches to endangered cave amphibians,David Cannatella,,TRUE,m,,
268,"Social, Economic & Political Sciences",Dr.,Bridget,J.,Goosby,,"For distinguished contributions to the scientific study of the effects of racism, discrimination, marginalization, and inequities on mental and physical health and physiological risks.",Bridget Goosby,,FALSE,f,,
269,Biological Sciences,Dr.,Rasika,,Harshey,,"For exceptional contributions to fundamental molecular mechanisms of transposition of the mobile genetic element bacteriophage Mu, and to bacterial signaling, behavior, cell and molecular biology.",Rasika Harshey,,FALSE,f,,
270,General Interest in Science & Engineering,Dr.,Lee Ann,,Kahlor,,"For distinguished scholarship, teaching, and service in health and environmental risk communication and related areas, especially regarding nanotechnology.",Lee Ann Kahlor,,FALSE,f,,
